"region","state","trt_day_wait","proportion"
"South","Alabama","0",0.9996
"South","Alabama","1-7",4e-04
"West","Alaska","0",0.9951
"West","Alaska","1-7",0.0024
"West","Alaska","8-14",0.0013
"West","Alaska","15-30",8e-04
"West","Alaska","31+",4e-04
"West","Arizona","0",0.7372
"West","Arizona","1-7",0.1229
"West","Arizona","8-14",0.053
"West","Arizona","15-30",0.0457
"West","Arizona","31+",0.0411
"South","Arkansas","0",0.6299
"South","Arkansas","1-7",0.198
"South","Arkansas","8-14",0.0782
"South","Arkansas","15-30",0.0663
"South","Arkansas","31+",0.0276
"West","California","0",0.7822
"West","California","1-7",0.1452
"West","California","8-14",0.0384
"West","California","15-30",0.0245
"West","California","31+",0.0097
"West","Colorado","0",0.8397
"West","Colorado","1-7",0.0851
"West","Colorado","8-14",0.0263
"West","Colorado","15-30",0.0231
"West","Colorado","31+",0.0258
"South","Delaware","0",0.5566
"South","Delaware","1-7",0.2925
"South","Delaware","8-14",0.066
"South","Delaware","15-30",0.0519
"South","Delaware","31+",0.033
"South","District of Columbia","0",0.9882
"South","District of Columbia","1-7",0.0113
"South","District of Columbia","8-14",6e-04
"South","Florida","0",0.8453
"South","Florida","1-7",0.1133
"South","Florida","8-14",0.0155
"South","Florida","15-30",0.0129
"South","Florida","31+",0.013
"West","Hawaii","0",0.8815
"West","Hawaii","1-7",0.0594
"West","Hawaii","8-14",0.0126
"West","Hawaii","15-30",0.0115
"West","Hawaii","31+",0.0349
"West","Idaho","0",0.9724
"West","Idaho","1-7",0.0214
"West","Idaho","8-14",0.0021
"West","Idaho","15-30",0.0021
"West","Idaho","31+",0.0021
"Midwest","Illinois","0",0.9715
"Midwest","Illinois","1-7",0.0115
"Midwest","Illinois","8-14",0.0049
"Midwest","Illinois","15-30",0.0055
"Midwest","Illinois","31+",0.0066
"Midwest","Iowa","0",0.477
"Midwest","Iowa","1-7",0.2714
"Midwest","Iowa","8-14",0.1208
"Midwest","Iowa","15-30",0.0908
"Midwest","Iowa","31+",0.0401
"Midwest","Kansas","0",0.9405
"Midwest","Kansas","1-7",0.0247
"Midwest","Kansas","8-14",0.0113
"Midwest","Kansas","15-30",0.0117
"Midwest","Kansas","31+",0.0118
"South","Louisiana","0",0.7883
"South","Louisiana","1-7",0.1035
"South","Louisiana","8-14",0.0391
"South","Louisiana","15-30",0.0267
"South","Louisiana","31+",0.0424
"Northeast","Maine","0",0.1978
"Northeast","Maine","1-7",0.2414
"Northeast","Maine","8-14",0.0888
"Northeast","Maine","15-30",0.1854
"Northeast","Maine","31+",0.2866
"South","Maryland","0",0.9157
"South","Maryland","1-7",0.0659
"South","Maryland","8-14",0.0106
"South","Maryland","15-30",0.006
"South","Maryland","31+",0.0018
"Northeast","Massachusetts","0",0.3479
"Northeast","Massachusetts","1-7",0.5415
"Northeast","Massachusetts","8-14",0.0383
"Northeast","Massachusetts","15-30",0.033
"Northeast","Massachusetts","31+",0.0393
"Midwest","Michigan","0",0.3602
"Midwest","Michigan","1-7",0.4062
"Midwest","Michigan","8-14",0.1432
"Midwest","Michigan","15-30",0.0714
"Midwest","Michigan","31+",0.019
"South","Mississippi","0",0.8004
"South","Mississippi","1-7",0.1332
"South","Mississippi","8-14",0.0235
"South","Mississippi","15-30",0.0252
"South","Mississippi","31+",0.0176
"Midwest","Missouri","0",0.6983
"Midwest","Missouri","1-7",0.1495
"Midwest","Missouri","8-14",0.0522
"Midwest","Missouri","15-30",0.0534
"Midwest","Missouri","31+",0.0467
"West","Montana","0",0.7001
"West","Montana","1-7",0.0959
"West","Montana","8-14",0.0482
"West","Montana","15-30",0.0581
"West","Montana","31+",0.0977
"Midwest","Nebraska","0",0.6795
"Midwest","Nebraska","1-7",0.1739
"Midwest","Nebraska","8-14",0.0585
"Midwest","Nebraska","15-30",0.0606
"Midwest","Nebraska","31+",0.0275
"West","Nevada","0",0.5225
"West","Nevada","1-7",0.0796
"West","Nevada","8-14",0.3007
"West","Nevada","15-30",0.0206
